域名	解析IP	开放端口	WEB服务器	网站状态
cxt.1688.com	140.205.32.54	80,443	Tengine/Aserver	80:正常访问
cxsenbomy.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxs168999.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxshls.cn.1688.com	140.205.32.54	80,443	获取失败	80:-
cxsizhang.cn.1688.com	106.11.248.204	443	获取失败	443:-
cxx780918.cn.1688.com	106.11.248.204	443	获取失败	443:-
cxtlpj.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxthgypc.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxxingjian.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxxingsheng.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxyicixingjdyppf.cn.1688.com	106.11.248.204	443	获取失败	443:-
cxyitian.cn.1688.com	106.11.248.204	443	获取失败	443:-
cxyikaisjrq.cn.1688.com	106.11.248.204	443	获取失败	443:-
cxytgyp.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxyumao.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxxsjdl.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxyyzcc.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cy576967432.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cxzycm188.cn.1688.com	106.11.248.204	443	获取失败	443:-
cyfs98.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cybangel.cn.1688.com	106.11.248.204	443	获取失败	443:-
cygj553.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cygwxl.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cyclenbatt.cn.1688.com	106.11.248.204	443	获取失败	443:-
cyjmgg.1688.com	203.119.206.116	80,443	获取失败	80:-
cyjjerry.blog.1688.com	203.119.206.116	-	端口未开放	端口未开放
cyfeng520.cn.1688.com	106.11.248.204	443	获取失败	443:-
cyhblp.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cyjmjx.1688.com	203.119.206.116	80,443	获取失败	80:-
cyjewelrypackage.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cykangfeng.cn.1688.com	140.205.34.47	80,443	获取失败	80:-
cym2223.me.1688.com	203.119.206.116	80,443	获取失败	80:-
cylww0078.me.1688.com	203.119.206.116	80,443	获取失败	80:-
cylzh2005.me.1688.com	203.119.206.116	80,443	获取失败	80:-
cyjiafa.me.1688.com	203.119.206.116	80,443	获取失败	80:-
cym0011.1688.com	203.119.206.116	80,443	获取失败	80:-
cyl4880387.me.1688.com	203.119.206.116	80,443	获取失败	80:-
cyl520ss.me.1688.com	203.119.206.116	80,443	获取失败	80:-
cym0011.cn.1688.com	106.11.248.204	443	获取失败	443:-
cyl486207.me.1688.com	203.119.206.116	80,443	获取失败	80:-
cyjiacuo.me.1688.com	203.119.206.116	443	获取失败	443:-
cym890513.me.1688.com	203.119.206.116	80,443	获取失败	80:-
