域名	解析IP	开放端口	WEB服务器	网站状态
d.alimama.com	119.42.227.247	-	端口未开放	端口未开放
d1.alimama.com	119.42.227.247	-	端口未开放	端口未开放
e.alimama.com	140.205.38.41	-	端口未开放	端口未开放
m.alimama.com	106.11.211.217	80,443	Tengine/Aserver	80:正常访问
p.alimama.com	119.42.233.242,119.42.233.243,119.42.233.237,119.42.233.244	-	端口未开放	端口未开放
tt.alimama.com	47.91.195.254,47.91.195.253	80,443	Tengine	80:(404) 未找到
q.alimama.com	203.119.204.59,203.119.228.3	-	端口未开放	端口未开放
t.alimama.com	119.42.227.212,119.42.239.38	-	端口未开放	端口未开放
a.alimama.com	203.119.128.159	80	Tengine	80:正常访问
c.alimama.com	203.119.128.159	80	Tengine	80:正常访问
mail.alimama.com	110.75.3.71,110.75.3.111,110.75.3.79	-	端口未开放	端口未开放
static.alimama.com	205.204.104.242,205.204.104.233	80,443	Tengine	80:(403) 已禁止
post.alimama.com	203.209.235.86	-	端口未开放	端口未开放
shop.alimama.com	106.11.211.222	80,443	Tengine/Aserver	80:正常访问
adm.alimama.com	106.11.211.222	80,443	Tengine/Aserver	80:正常访问
sec.alimama.com	203.119.214.123	80,443	Tengine/Aserver	80:正常访问
ac.alimama.com	110.75.69.67	-	端口未开放	端口未开放
dev.alimama.com	106.11.211.222	80,443	Tengine/Aserver	80:正常访问
club.alimama.com	106.11.61.141,106.11.248.2,140.205.61.87,140.205.248.8	443	Tengine/Aserver	443:(404) 未找到
mail2.alimama.com	121.0.29.147,121.0.29.128	-	端口未开放	端口未开放
media.alimama.com	106.11.223.87	80,443	Tengine/Aserver	80:正常访问
mu.alimama.com	106.11.211.217	80,443	Tengine/Aserver	80:正常访问
ns1.alimama.com	119.42.224.30	-	端口未开放	端口未开放
pub.alimama.com	198.11.188.72,198.11.188.74	80,443	Tengine/Aserver	80:正常访问
tk.alimama.com	119.42.227.243	-	端口未开放	端口未开放
uranus.alimama.com	106.11.210.201	-	端口未开放	端口未开放
mx1.alimama.com	121.0.26.151	-	端口未开放	端口未开放
