域名	解析IP	开放端口	WEB服务器	网站状态
aligw.alipay.com	110.76.15.148,110.75.129.2,110.75.139.2,110.76.15.47,110.75.231.7,110.76.15.131,110.76.15.98,110.76.30.76,110.76.15.173,110.76.15.34	80,443	Tengine/2.1.0	80:(404) 未找到
abc.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
alibaba.alipay.com	110.76.15.98,110.76.15.173	80,443	Tengine/2.1.0	80:正常访问
5s.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
ab.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
act.life.alipay.com	110.75.129.5	80	Tengine	80:正常访问
88156688.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
accounts.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
519.alipay.com	110.76.30.76,110.75.129.2	443	Tengine/2.1.0	443:正常访问
95188.alipay.com	110.75.231.7,110.75.139.2	80	Tengine/2.1.0	80:(404) 未找到
alipass.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
b.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
b2b.alipay.com	110.76.15.173,110.76.15.98	80,443	Tengine/2.1.0	80:正常访问
app.alipay.com	110.75.138.10,110.75.139.1	443	Tengine/2.1.0	443:正常访问
blog.alipay.com	110.76.15.173,110.76.15.98	80,443	Tengine/2.1.0	80:正常访问
bill.alipay.com	110.75.139.5	80	Tengine	80:正常访问
batch.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
c.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
baoxian.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
card.alipay.com	110.76.15.98,110.76.15.173	80,443	Tengine/2.1.0	80:(404) 未找到
club3.alipay.com	110.75.139.5	80	Tengine	80:正常访问
campus.alipay.com	47.254.143.88	80,443	Tengine/Aserver	80:正常访问
bizfundprod.alipay.com	110.75.139.1,110.75.138.10	443	Tengine/2.1.0	443:(404) 未找到
bao.alipay.com	110.76.15.97,110.76.15.161	80,443	Tengine/2.1.0	80:正常访问
ccrprod.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
110.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
clive.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
chuguo.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
cjb.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
d.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
cmspromo.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
cschannel.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
cshall.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
