域名	解析IP	开放端口	WEB服务器	网站状态
email.aliyun.com	140.205.78.2	80,443	Tengine	80:正常访问
appdev.aliyun.com	140.205.172.1	80,443		80:正常访问
apps.aliyun.com	203.119.207.114	80,443	Tengine/Aserver	80:正常访问
blog.aliyun.com	106.15.100.114,106.15.100.115,106.15.100.125,139.196.67.152,106.15.100.124,106.15.100.116,106.15.100.127,106.15.100.113,106.15.100.117,139.196.67.154,106.15.100.122,106.15.100.126	80,443	Tengine	80:(404) 未找到
data.aliyun.com	140.205.32.13	80,443	Tengine/Aserver	80:正常访问
chuangkejia.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:(404) 未找到
alink.aliyun.com	140.205.230.4	80,443	Tengine/Aserver	80:(404) 未找到
cp.aliyun.com	140.205.172.20	80,443	Tengine/Aserver	80:正常访问
fuwu.aliyun.com	140.205.172.20	80,443	Tengine/Aserver	80:正常访问
ecs-buy.aliyun.com	140.205.135.3	80,443	Tengine	80:正常访问
free.aliyun.com	140.205.32.13	80,443	Tengine/Aserver	80:正常访问
bbs.aliyun.com	140.205.60.46,106.11.61.69	80,443	Tengine	80:正常访问
developer.aliyun.com	106.11.62.15	80,443	Tengine	80:正常访问
healthcare.aliyun.com	140.205.230.3	80,443	Tengine/Aserver	80:正常访问
govcloud.aliyun.com	140.205.230.3	80,443	Tengine/Aserver	80:正常访问
dc.aliyun.com	140.205.135.3	80,443	Tengine	80:正常访问
develop.aliyun.com	106.11.62.15	80,443	Tengine	80:正常访问
chuangke.aliyun.com	140.205.135.3	80,443	Tengine	80:正常访问
alinode.aliyun.com	223.4.220.241	80,443	Tengine/Aserver	80:正常访问
help.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:正常访问
mail.aliyun.com	140.205.78.2	80,443	Tengine	80:正常访问
cloudmarket.aliyun.com	140.205.135.3	80,443	Tengine/Aserver	80:正常访问
ecs.console.aliyun.com	140.205.135.3	80,443	Tengine	80:正常访问
bsn.console.aliyun.com	140.205.172.20	80,443	Tengine	80:正常访问
dev.aliyun.com	140.205.34.12	80,443	Tengine/Aserver	80:正常访问
ace.aliyun.com	140.205.230.3	80,443	Tengine/Aserver	80:正常访问
home.browser.aliyun.com	140.205.33.5	80,443		80:正常访问
jiankong.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:正常访问
lingyun.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:正常访问
market.aliyun.com	140.205.32.13	80,443	Tengine/Aserver	80:正常访问
awdc.aliyun.com	140.205.34.12	80,443	Tengine/Aserver	80:正常访问
m.aliyun.com	140.205.32.13	80,443	Tengine/Aserver	80:正常访问
otp.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:正常访问
netcn.console.aliyun.com	140.205.32.13	80,443	Tengine/Aserver	80:正常访问
mailhelp.aliyun.com	140.205.135.3	80,443	Tengine	80:正常访问
new.aliyun.com	140.205.172.20	80,443	Tengine/Aserver	80:正常访问
mi.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:正常访问
opensearch.console.aliyun.com	140.205.230.3	80,443	Tengine/Aserver	80:正常访问
qiye.aliyun.com	42.120.158.81,42.156.140.172,42.120.226.22,42.120.226.21,42.120.226.20,42.120.226.19,42.120.226.15,42.120.226.14	80,443	Tengine	80:正常访问
mirrors.aliyun.com	101.37.183.147,101.37.183.169,101.37.183.144,101.37.183.145,101.37.183.143,101.37.183.142,101.37.183.146,101.37.183.148	80,443	Tengine	80:正常访问
ocs-buy.aliyun.com	140.205.34.12	80,443	Tengine/Aserver	80:正常访问
intl.aliyun.com	139.196.67.154,106.15.100.114,106.15.100.115,106.15.100.117,106.15.100.122,106.15.100.116,106.15.100.125,106.15.100.127,139.196.67.152,106.15.100.113,106.15.100.124,106.15.100.126	80,443	Tengine	80:正常访问
phpwind.aliyun.com	140.205.172.20	80,443	Tengine/Aserver	80:正常访问
pts.aliyun.com	140.205.32.13	80,443	Tengine/Aserver	80:正常访问
os.aliyun.com	140.205.33.5	80,443	Tengine/Aserver	80:正常访问
my.aliyun.com	42.120.219.14	80,443		80:正常访问
sms.aliyun.com	42.120.219.14	80,443	-	80:(500) 内部服务器错误
rendering.aliyun.com	140.205.230.3	80,443	Tengine/Aserver	80:正常访问
security.aliyun.com	140.205.135.3	80,443	Tengine	80:正常访问
mqc.aliyun.com	140.205.230.3	80,443	Tengine/Aserver	80:正常访问
try.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:正常访问
wanwang.aliyun.com	106.11.62.15	80,443	Tengine	80:正常访问
workorder.aliyun.com	140.205.34.12	80,443	Tengine/Aserver	80:正常访问
tianchi.aliyun.com	140.205.34.12	80,443	Tengine/Aserver	80:正常访问
yq.aliyun.com	106.15.100.114,139.196.67.152,106.15.100.117,106.15.100.116,106.15.100.125,106.15.100.127,106.15.100.126,106.15.100.122,106.15.100.115,106.15.100.124,139.196.67.154,106.15.100.113	80,443	Tengine	80:(404) 未找到
xianzhi.aliyun.com	140.205.172.21	80,443	Tengine/Aserver	80:正常访问
