域名	解析IP	开放端口	WEB服务器	网站状态
app.etao.com	180.96.11.188,180.96.11.189,222.186.49.214	80,443	Tengine	80:正常访问
1111.etao.com	106.11.223.92	80,443	Tengine/Aserver	80:正常访问
baby.etao.com	106.11.211.227	80,443	Tengine/Aserver	80:正常访问
book.etao.com	106.11.223.97	80,443	Tengine/Aserver	80:正常访问
cz.etao.com	180.96.11.188,222.186.49.214,180.96.11.189	80,443	Tengine	80:正常访问
daogou.etao.com	106.11.211.227	80,443	Tengine/Aserver	80:正常访问
dacu.etao.com	180.96.11.189,222.186.49.215,180.96.11.188	80,443	Tengine/Aserver	80:正常访问
blog.haiwai.etao.com	106.11.61.7	80	Tengine	80:正常访问
466.etao.com	110.75.83.31	-	端口未开放	端口未开放
360.etao.com	110.75.83.31	-	端口未开放	端口未开放
e.etao.com	106.11.211.227	80,443	Tengine/Aserver	80:正常访问
category.etao.com	110.75.65.22	-	端口未开放	端口未开放
f.etao.com	106.11.223.97	80,443	Tengine/Aserver	80:正常访问
faxian.etao.com	106.11.223.97	80,443	Tengine/Aserver	80:正常访问
food.etao.com	106.11.211.227	80,443	Tengine/Aserver	80:正常访问
haitao.etao.com	106.11.223.97	80,443	Tengine/Aserver	80:正常访问
huoyan.etao.com	180.96.11.188,180.96.11.189,222.186.49.215	80,443	Tengine	80:正常访问
ally.etao.com	106.11.61.141,140.205.248.8,106.11.248.2,140.205.61.87	80,443	获取失败	80:-
h5.etao.com	203.119.206.103,203.119.216.248	80	Tengine	80:(404) 未找到
duba.etao.com	110.75.83.31	-	端口未开放	端口未开放
dx.etao.com	42.156.210.82	-	端口未开放	端口未开放
jia.etao.com	106.11.223.92	80,443	Tengine/Aserver	80:正常访问
jiadian.etao.com	106.11.211.227	80,443	Tengine/Aserver	80:正常访问
lady.etao.com	106.11.223.92	80,443	Tengine/Aserver	80:正常访问
leyiduo.etao.com	222.186.49.215,180.96.11.188,180.96.11.189	80,443	Tengine	80:正常访问
dianping.etao.com	42.156.210.105	-	端口未开放	端口未开放
et.etao.com	110.75.83.24	-	端口未开放	端口未开放
logitech.etao.com	222.186.49.214,180.96.11.188,180.96.11.189	80,443	Tengine	80:正常访问
living.etao.com	106.11.223.97	80,443	Tengine/Aserver	80:正常访问
login.etao.com	106.11.211.227	80,443	Tengine/Aserver	80:正常访问
m.etao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
man.etao.com	106.11.223.92	80,443	Tengine/Aserver	80:正常访问
game.etao.com	110.75.29.174	-	端口未开放	端口未开放
pk.etao.com	203.119.205.247	80,443	Tengine/Aserver	80:正常访问
opensearch.etao.com	121.40.13.96	80	Tengine	80:正常访问
kezhan.etao.com	110.75.18.51	-	端口未开放	端口未开放
sale.etao.com	203.119.213.2	80,443	Tengine/Aserver	80:正常访问
sandbox.shop.etao.com	140.205.155.56	80	Tengine/2.1.0	80:(500) 内部服务器错误
list.etao.com	110.75.65.22	-	端口未开放	端口未开放
saleoff.etao.com	203.119.215.106	80,443	Tengine/Aserver	80:正常访问
i.etao.com	140.205.248.8,106.11.61.141,140.205.61.87,106.11.248.2	80,443	获取失败	80:-
temai.etao.com	106.11.61.141,140.205.248.8,106.11.248.2,140.205.61.87	80,443	Tengine/Aserver	80:(404) 未找到
sports.etao.com	106.11.223.97	80,443	Tengine/Aserver	80:正常访问
vip.etao.com	106.11.61.141,140.205.61.87,140.205.248.8,106.11.248.2	80,443	Tengine/Aserver	80:(404) 未找到
wan.etao.com	106.11.248.2,140.205.248.8,140.205.61.87,106.11.61.141	80,443	Tengine/Aserver	80:(502) 错误的网关
wanke.etao.com	106.11.61.141,140.205.61.87,106.11.248.2,140.205.248.8	80,443	Tengine/Aserver	80:(502) 错误的网关
h5.m.etao.com	140.205.155.57	80	获取失败	80:-
ruyi.etao.com	140.205.136.15	-	端口未开放	端口未开放
week.etao.com	180.96.11.188,222.186.49.214,180.96.11.189	80,443	Tengine	80:正常访问
www.520.etao.com	220.170.91.121,220.170.91.111	80,443	Tengine	80:正常访问
