域名	解析IP	开放端口	WEB服务器	网站状态
180search.yahoo.com	31.13.66.6	-	端口未开放	端口未开放
ads.yahoo.com	106.10.231.44,106.10.198.33	80,443	ATS	80:(502) 错误的网关
add.my.yahoo.com	124.108.103.104,124.108.103.103	80,443	ATS	80:正常访问
advertising.yahoo.com	106.10.218.146	80,443	Apache	80:正常访问
apple.imap.mail.yahoo.com	106.10.231.25,106.10.249.76	-	端口未开放	端口未开放
apps.search.yahoo.com	69.171.227.37	-	端口未开放	端口未开放
answers.yahoo.com	87.248.118.22,87.248.118.23	80,443	ATS	80:正常访问
ar.babelfish.yahoo.com	98.136.101.175	80,443	ATS	80:正常访问
antispam.yahoo.com	87.248.100.137,87.248.100.136	80,443	ATS	80:(500) 内部服务器错误
ar.yahoo.com	98.136.96.140,98.136.101.175	80,443	ATS	80:正常访问
ar.overview.mail.yahoo.com	87.248.100.137,87.248.100.136	80,443	ATS	80:(500) 内部服务器错误
answer.yahoo.com	212.82.100.141	80,443	ATS	80:正常访问
asia.news.yahoo.com	98.136.101.175,98.136.96.140	80,443	ATS	80:(404) 未找到
asia.yahoo.com	212.82.100.141	80,443	ATS	80:正常访问
ar.groups.yahoo.com	87.248.118.22,87.248.118.23	80,443	ATS	80:正常访问
ar.mail.yahoo.com	87.248.100.137,87.248.100.136	80,443	ATS	80:正常访问
asia.groups.yahoo.com	87.248.118.22,87.248.118.23	80,443	ATS	80:正常访问
att.overview.mail.yahoo.com	87.248.100.137,87.248.100.136	80,443	ATS	80:(500) 内部服务器错误
att.yahoo.com	212.82.100.141	80,443	nginx	80:正常访问
att.software.yahoo.com	212.82.100.141	80,443	nginx	80:正常访问
ar.messenger.yahoo.com	87.248.114.11,87.248.114.12	80,443	ATS	80:正常访问
au.avatars.yahoo.com	106.10.248.150	80	ATS	80:正常访问
au.advertising.yahoo.com	74.125.47.118	-	端口未开放	端口未开放
au.blogs.yahoo.com	106.10.248.150	80	ATS	80:正常访问
au.answers.yahoo.com	87.248.114.12,87.248.114.11	80,443	ATS	80:正常访问
au.blog.360.yahoo.com	106.10.248.150	80	ATS	80:正常访问
au.astrology.yahoo.com	212.82.100.152	80,443	ATS	80:(404) 未找到
au.address.yahoo.com	87.248.100.136,87.248.100.137	80,443	ATS	80:正常访问
au.everything.yahoo.com	212.82.100.141	80,443	ATS	80:(404) 未找到
au.forums.yahoo.com	106.10.248.150	80	ATS	80:正常访问
au.entertainment.yahoo.com	212.82.100.152	80,443	ATS	80:(404) 未找到
au.dir.groups.yahoo.com	67.195.205.48	-	端口未开放	端口未开放
au.babelfish.yahoo.com	98.136.96.140,98.136.101.175	80,443	ATS	80:正常访问
au.greetings.yahoo.com	106.10.248.150	80	ATS	80:正常访问
au.f2.pg.briefcase.yahoo.com	98.136.101.175	80,443	ATS	80:正常访问
au.careers.yahoo.com	87.248.118.23,87.248.118.22	80,443	Apache	80:正常访问
ar.finance.yahoo.com	87.248.116.12,87.248.116.11	80,443	获取失败	80:-
au.finance.search.yahoo.com	69.171.244.11	-	端口未开放	端口未开放
au.finance.yahoo.com	87.248.114.12,87.248.114.11	80,443	ATS	80:(404) 未找到
au.geocities.yahoo.com	106.10.248.150	80	获取失败	80:-
au.mobile.yahoo.com	106.10.218.146	80,443	ATS	80:正常访问
au.my.yahoo.com	212.82.100.141	80,443	ATS	80:正常访问
au.lifestyle.yahoo.com	180.222.102.151,124.108.115.98	80,443	ATS	80:(404) 未找到
au.images.search.yahoo.com	173.252.73.48	-	端口未开放	端口未开放
au.news.yahoo.com	106.10.218.146	80,443	ATS	80:(404) 未找到
au.news.search.yahoo.com	31.13.74.1	-	端口未开放	端口未开放
au.notepad.yahoo.com	87.248.116.12,87.248.116.11	80,443	ATS	80:(404) 未找到
au.travel.yahoo.com	212.82.100.152	80,443	ATS	80:(404) 未找到
